Date,Open,High,Low,Close,Volume
2021-03-18,30148,30485,30049,30216,1285041600.0
2021-03-19,29904,30049,29621,29792,788137200.0
2021-03-22,29444,29472,29107,29174,792029000.0
2021-03-23,29381,29492,28995,28995,959883400.0
2021-03-24,28765,28867,28379,28405,728186000.0
2021-03-25,28457,28821,28414,28729,736539100.0
2021-03-26,29068,29240,28954,29176,1079480600.0
2021-03-29,29452,29577,29201,29384,798777400.0
2021-03-30,29365,29477,29284,29432,820050700.0
2021-03-31,29278,29348,29165,29178,820050700.0
2021-04-01,29441,29584,29323,29388,756394900.0
2021-04-02,29704,29868,29704,29854,571987900.0
2021-04-05,30084,30194,30024,30089,553633300.0
2021-04-06,30208,30208,29665,29696,655220500.0
2021-04-07,29743,29867,29523,29730,615392500.0
2021-04-08,29675,29744,29516,29708,625994400.0
2021-04-09,29865,30062,29768,29768,648748900.0
2021-04-12,29874,29874,29538,29538,501944800.0
2021-04-13,29605,29897,29579,29751,548880000.0
2021-04-14,29718,29718,29567,29620,571694100.0
2021-04-15,29573,29787,29564,29642,506210500.0
2021-04-16,29789,29789,29622,29683,490827100.0
2021-04-19,29683,29804,29530,29685,446991900.0
2021-04-20,29677,29685,29014,29100,598821300.0
2021-04-21,29100,29100,28420,28508,709978300.0
2021-04-22,28508,29188,28508,29188,550711400.0
2021-04-23,29188,29188,28770,29020,474500900.0
2021-04-26,29095,29239,28896,29126,492020300.0
2021-04-27,29174,29174,28990,28991,594242100.0
2021-04-28,28935,29139,28875,29053,614226000.0
2021-04-30,28996,29046,28760,28812,783827700.0
2021-05-06,29024,29429,28966,29331,943036000.0
2021-05-07,29330,29449,29238,29357,675495300.0
2021-05-10,29376,29684,29350,29518,662982700.0
2021-05-11,29518,29518,28536,28608,731699500.0
2021-05-12,28608,28831,27889,28147,899923800.0
2021-05-13,28147,28223,27387,27448,804892100.0
2021-05-14,27462,28138,27448,28084,735398700.0
2021-05-17,28084,28311,27636,27824,638821700.0
2021-05-18,27800,28480,27800,28406,746557500.0
2021-05-19,28031,28215,27847,28044,686804800.0
2021-05-20,27875,28175,27833,28098,568200800.0
2021-05-21,28269,28411,28193,28317,586643900.0
2021-05-24,28212,28584,28212,28364,546708800.0
2021-05-25,28516,28576,28443,28553,539910400.0
2021-05-26,28396,28706,28396,28642,641630100.0
2021-05-27,28543,28586,28360,28549,1382062500.0
2021-05-28,28549,29194,28497,29149,805702000.0
2021-05-31,29019,29147,28791,28860,537879900.0
2021-06-01,28885,29075,28611,28814,473769700.0
2021-06-02,28792,29003,28565,28946,710023800.0
2021-06-03,28946,29152,28879,29058,585365100.0
2021-06-04,28901,28991,28765,28941,557890400.0
2021-06-07,28941,29238,28941,29019,509560300.0
2021-06-08,29046,29140,28897,28963,504183500.0
2021-06-09,28901,28930,28807,28860,503981200.0
2021-06-10,28799,29007,28799,28958,533387000.0
2021-06-11,29030,29080,28839,28948,710664400.0
2021-06-14,29153,29205,29027,29161,450302500.0
2021-06-15,29256,29480,29235,29441,530408900.0
2021-06-16,29306,29434,29263,29291,524099600.0
2021-06-17,29149,29195,28876,29018,568703600.0
2021-06-18,29136,29136,28957,28964,902160800.0
2021-06-21,28013,28015,27796,28010,758195300.0
2021-06-22,28513,28895,28495,28884,677734000.0
2021-06-23,28886,29007,28860,28874,510549800.0
2021-06-24,28811,28935,28758,28875,446190900.0
2021-06-25,29137,29174,28993,29066,515614400.0
2021-06-28,29112,29120,28984,29048,476817700.0
2021-06-29,28927,28950,28735,28812,597270300.0
2021-06-30,28896,28998,28779,28791,539680600.0
2021-07-01,28832,28832,28624,28707,458889900.0
2021-07-02,28719,28849,28688,28783,474716900.0
2021-07-05,28662,28665,28588,28598,384614400.0
2021-07-06,28677,28748,28587,28643,417423500.0
2021-07-07,28262,28434,28163,28366,603361100.0
2021-07-08,28332,28366,28118,28118,622200000.0
2021-07-09,27739,27999,27419,27940,823228300.0
2021-07-12,28412,28594,28411,28569,555422500.0
2021-07-13,28713,28852,28699,28718,497931900.0
2021-07-14,28517,28696,28482,28608,548272800.0
2021-07-15,28539,28571,28241,28279,532038800.0
2021-07-16,28039,28200,27847,28003,503831500.0
2021-07-19,27663,27792,27494,27652,498791000.0
2021-07-20,27351,27564,27330,27388,630098800.0
