Date,Open,High,Low,Close,aClose,Volume
2021-02-03,8586,8729,8578,8712,8712,11559200
2021-02-04,8712,8867,8655,8776,8776,12687000
2021-02-05,8888,9081,8870,9081,9081,16816500
2021-02-08,9240,9639,9220,9485,9485,24769600
2021-02-09,9956,10140,9738,9808,9808,28363100
2021-02-10,9750,9988,9645,9961,9961,17708300
2021-02-12,9961,9966,9751,9797,9797,12837200
2021-02-15,9896,10040,9858,10005,10005,12408000
2021-02-16,10140,10500,10060,10420,10420,14316000
2021-02-17,10205,10485,10050,10405,10405,10469800
2021-02-18,10470,10575,10260,10340,10340,9582500
2021-02-19,10040,10410,10030,10350,10350,8365000
2021-02-22,10590,10630,10440,10530,10530,9338300
2021-02-24,10320,10420,9977,9982,9982,12776600
2021-02-25,10280,10460,10235,10365,10365,10565100
2021-02-26,9996,10150,9895,9895,9895,14637700
2021-03-01,10290,10440,10185,10435,10435,11236500
2021-03-02,10625,10665,10360,10380,10380,9830000
2021-03-03,10415,10600,10365,10600,10600,8915700
2021-03-04,10285,10300,9935,10050,10050,16723400
2021-03-05,9750,10070,9660,10055,10055,17646400
2021-03-08,10180,10195,9763,9818,9818,16223200
2021-03-09,9656,10155,9650,10130,10130,16505600
2021-03-10,10150,10225,9911,10120,10120,14756000
2021-03-11,10020,10290,9989,10290,10290,11014200
2021-03-12,10375,10650,10345,10635,10635,17351500
2021-03-15,10610,10615,10290,10370,10370,12041200
2021-03-16,10410,10695,10405,10620,10620,11346000
2021-03-17,10485,10565,10400,10400,10400,9771000
2021-03-18,10515,10515,10195,10220,10220,13941600
2021-03-19,9977,10115,9890,9969,9969,20715700
2021-03-22,9819,9983,9814,9864,9864,14719700
2021-03-23,9941,10010,9767,9775,9775,12144000
2021-03-24,9709,9745,9340,9340,9340,15248700
2021-03-25,9150,9338,9005,9075,9075,17124400
2021-03-26,9202,9369,9131,9238,9238,11754500
2021-03-29,9388,9389,8980,9080,9080,16428700
2021-03-30,9146,9320,9081,9172,9172,12463600
2021-03-31,9084,9362,8995,9330,9330,12246400
2021-04-01,9480,9615,9372,9391,9391,13843700
2021-04-02,9530,9823,9521,9787,9787,13932100
2021-04-05,9895,10010,9833,9993,9993,12825600
2021-04-06,10035,10075,9852,9881,9881,13128200
2021-04-07,9928,10135,9924,10000,10000,12509600
2021-04-08,9965,10020,9925,10000,10000,9645400
2021-04-09,10000,10050,9931,9950,9950,10444800
2021-04-12,9951,10140,9945,10030,10030,8810400
